"fn_x","fn_y","particle","pred_x","pred_y","score","sd_x","sd_y","seq_id","tpt","true_x","true_y"
"","",1,NA,NA,NA,NA,NA,"line",0,26,0
"","",2,NA,NA,NA,NA,NA,"line",0,26,0
"","",3,NA,NA,NA,NA,NA,"line",0,26,0
"","",4,NA,NA,NA,NA,NA,"line",0,26,0
"","",5,NA,NA,NA,NA,NA,"line",0,26,0
"","",6,NA,NA,NA,NA,NA,"line",0,26,0
"","",7,NA,NA,NA,NA,NA,"line",0,26,0
"","",8,NA,NA,NA,NA,NA,"line",0,26,0
"","",9,NA,NA,NA,NA,NA,"line",0,26,0
"","",10,NA,NA,NA,NA,NA,"line",0,26,0
"","",11,NA,NA,NA,NA,NA,"line",0,26,0
"","",12,NA,NA,NA,NA,NA,"line",0,26,0
"","",13,NA,NA,NA,NA,NA,"line",0,26,0
"","",14,NA,NA,NA,NA,NA,"line",0,26,0
"","",15,NA,NA,NA,NA,NA,"line",0,26,0
"","",16,NA,NA,NA,NA,NA,"line",0,26,0
"","",17,NA,NA,NA,NA,NA,"line",0,26,0
"","",18,NA,NA,NA,NA,NA,"line",0,26,0
"","",19,NA,NA,NA,NA,NA,"line",0,26,0
"","",20,NA,NA,NA,NA,NA,"line",0,26,0
"","",1,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",2,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",3,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",4,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",5,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",6,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",7,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",8,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",9,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",10,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",11,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",12,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",13,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",14,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",15,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",16,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",17,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",18,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",19,NA,NA,NA,NA,NA,"line",1,24.7,1
"","",20,NA,NA,NA,NA,NA,"line",1,24.7,1
"Constant(0.7631482356562507, 1)","Periodic(0.784867764073153, 0.7668144240089262, 1, 1)",1,24.6373968036873,2.96581725611841,2.4821921205763,1.08768628437684,5.81343138871567,"line",2,23.4,2
"Constant(0.6970638402840906, 1)","SquaredExponential(0.0010238389138345575, 2, 1)",2,24.6017006792357,8.04565024059581,2.46632055038443,1.30355509273371,9.18040726296215,"line",2,23.4,2
"SquaredExponential(0.5363663859700232, 1, 1)","Constant(0.5631778196053091, 1)",3,24.6638187725004,1.1015361681824,2.4048394002574,0.944818038835195,1.04515276357149,"line",2,23.4,2
"Constant(0.3310591848863692, 1)","Constant(0.6571223755558575, 1)",4,24.572800182103,1.11633676991604,3.10508500605988,1.02251929721846,1.20892775381962,"line",2,23.4,2
"Periodic(0.2924403555468916, 0.3688592782113319, 2, 1)","Periodic(0.4744208140788446, 0.8609945507350181, 1, 1)",5,13.8722840617579,3.43414795926015,1.40283849955207,12.2975284454962,6.35029666572103,"line",2,23.4,2
"Constant(0.9621849160672432, 1)","SquaredExponential(0.9751504456910385, 2, 1)",6,24.6499449099035,1.01663530461063,2.50116148490716,1.09180044760068,0.562048934513892,"line",2,23.4,2
"Constant(0.7594186057327217, 1)","Linear(0.6675431960855226, 1, 1)",7,24.6003581546767,1.88323171444988,2.27351134212775,1.36990767326925,1.07229108013276,"line",2,23.4,2
"Constant(0.9166105602311269, 1)","Periodic(0.36702477837224556, 0.2843822231888847, 3, 1)",8,24.6393037192731,9.54544070423736,2.49972715166445,1.17370113233439,9.46144240546874,"line",2,23.4,2
"Periodic(0.4749285533304334, 0.4368609991161094, 1, 1)","Periodic(0.808609466220992, 0.29535582332350374, 2, 1)",9,16.8865633256619,7.03963277640725,1.4028147324343,11.5355618490457,8.88423415829183,"line",2,23.4,2
"SquaredExponential(0.3208935045710564, 1, 1)","Constant(0.7189057584823024, 1)",10,24.5330188405933,1.06659578558746,2.47230995015986,2.03342426421384,0.955435312132263,"line",2,23.4,2
"Periodic(0.14165428129773652, 0.3126931836545312, 2, 1)","SquaredExponential(0.3950102165767636, 1, 1)",11,12.4077511585187,1.05696897026699,1.40283374860286,12.3973597001046,1.04013239207978,"line",2,23.4,2
"SquaredExponential(0.42667133450187933, 1, 1)","Linear(0.965882533259442, 1, 1)",12,24.6496257787721,1.57027270815169,1.40181840155229,1.11478720073709,0.967957396600502,"line",2,23.4,2
"Linear(0.68398833762364, 3, 1)","SquaredExponential(0.956538188921876, 2, 1)",13,23.5553883667053,1.08711256400786,1.22352854740467,1.507842402893,1.28856183423691,"line",2,23.4,2
"Periodic(0.9226015561679054, 0.9073344342147879, 3, 1)","Periodic(0.12829737450812484, 0.857671996929543, 1, 1)",14,23.0612640992782,7.36559466025327,1.40283444307356,6.16175295945936,8.99673281327354,"line",2,23.4,2
"Constant(0.6277351811220444, 1)","Constant(0.6754566105391601, 1)",15,24.6901787564372,1.04138378083398,3.49359940964289,0.390307005021729,0.729566911463373,"line",2,23.4,2
"Constant(0.7850132427011752, 1)","Constant(0.9370072112113251, 1)",16,24.6194463502688,1.02461205499869,3.584056204902,1.25181813706601,0.662375163174672,"line",2,23.4,2
"SquaredExponential(0.8757973610053426, 1, 1)","SquaredExponential(0.7495421460494095, 3, 1)",17,24.585789116737,1.10332660435048,1.40281460885368,1.68217005590414,1.40369333600749,"line",2,23.4,2
"Periodic(0.28687525299294675, 0.4215364337174208, 2, 1)","Periodic(0.23261946798356198, 0.4080783096861861, 3, 1)",18,14.5031669842995,9.50927720440158,1.40283424600161,12.2031292185024,9.46653691211653,"line",2,23.4,2
"Constant(0.384066397456162, 1)","SquaredExponential(0.4600698997513227, 1, 1)",19,24.6040456237951,1.10697473399953,2.18427169451598,0.955944201574832,1.42756764180431,"line",2,23.4,2
"Periodic(0.9516660838008972, 0.2652658364077521, 2, 1)","Constant(0.6428821341535106, 1)",20,17.1316571609402,1.068616861821,2.4465992659921,11.4133974489016,0.917162702798869,"line",2,23.4,2
"SquaredExponential(0.17510396685733792, 3, 1)","SquaredExponential(0.6121585683474775, 3, 1)",1,22.4952475194833,2.69113940109138,2.94615219803677,1.53885311606552,0.5533169882923,"line",3,22.1,3
"SquaredExponential(0.826077036905581, 2, 1)","Linear(0.5678019715091178, 1, 1)",2,23.5779315690002,2.84469392734164,3.51336769398259,1.55322805990338,0.575708340601991,"line",3,22.1,3
"Linear(0.31305076703576, 2, 1)","SquaredExponential(0.6291468401034065, 3, 1)",3,22.6464514896963,2.27248876735429,4.12695206798349,0.460514924954198,0.881517691452612,"line",3,22.1,3
