"","X","func_scale","response_x","response_y","rt","true_x","true_y","tpt","trial_idx","correct","seq_id","subject_id","age","school","shapes_basic","shapes_advanced","acceptance_dist","prev_pt_buffer","min_x","max_x","min_y","max_y","prev_x","prev_y"
"1",15,211.940652222154,NA,NA,NA,0,0,0,1,NA,"hourglass_1","8l625wb2dh",5.1,"preschool","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"2",16,211.940652222154,NA,NA,NA,1,0,1,1,NA,"hourglass_1","8l625wb2dh",5.1,"preschool","yes","yes",0.377464158769053,0.141549059538395,-3.14746544799244,4.09984640037339,-2.24155146694671,3.19393241932766,0,0
"3",17,211.940652222154,NA,NA,NA,0,1,2,1,NA,"hourglass_1","8l625wb2dh",5.1,"preschool","yes","yes",0.377464158769053,0.141549059538395,-3.14746544799244,4.09984640037339,-2.24155146694671,3.19393241932766,1,0
"4",18,211.940652222154,-0.465389557195744,1.42982162447682,2063,1,1,3,1,0,"hourglass_1","8l625wb2dh",5.1,"preschool","yes","yes",0.377464158769053,0.141549059538395,-3.14746544799244,4.09984640037339,-2.24155146694671,3.19393241932766,0,1
"5",19,211.940652222154,1.43580032689228,1.03998773657234,3147,0,0,4,1,0,"hourglass_1","8l625wb2dh",5.1,"preschool","yes","yes",0.377464158769053,0.141549059538395,-3.14746544799244,4.09984640037339,-2.24155146694671,3.19393241932766,1,1
"6",20,211.940652222154,-0.0935480025791588,-0.5193478150456,2412,1,0,5,1,0,"hourglass_1","8l625wb2dh",5.1,"preschool","yes","yes",0.377464158769053,0.141549059538395,-3.14746544799244,4.09984640037339,-2.24155146694671,3.19393241932766,0,0
"7",21,211.940652222154,0.548178551355915,0.536202404511157,1822,0,1,6,1,0,"hourglass_1","8l625wb2dh",5.1,"preschool","yes","yes",0.377464158769053,0.141549059538395,-3.14746544799244,4.09984640037339,-2.24155146694671,3.19393241932766,1,0
"8",22,211.940652222154,1.05196388341709,0.926036292415641,796.000000000058,1,1,7,1,1,"hourglass_1","8l625wb2dh",5.1,"preschool","yes","yes",0.377464158769053,0.141549059538395,-3.14746544799244,4.09984640037339,-2.24155146694671,3.19393241932766,0,1
"9",23,211.940652222154,0.0383957748654358,-0.00356759412582086,751.000000000058,0,0,8,1,1,"hourglass_1","8l625wb2dh",5.1,"preschool","yes","yes",0.377464158769053,0.141549059538395,-3.14746544799244,4.09984640037339,-2.24155146694671,3.19393241932766,1,1
"10",24,211.940652222154,0.9080252171139,-0.0215599274137199,256,1,0,9,1,1,"hourglass_1","8l625wb2dh",5.1,"preschool","yes","yes",0.377464158769053,0.141549059538395,-3.14746544799244,4.09984640037339,-2.24155146694671,3.19393241932766,0,0
